id_region;region;id_system;system;european_zone;utc_in_data
47;Мурманская область;840000;northwest;1;3
58;Псковская область;840000;northwest;1;3
41;Ленинградская область;840000;northwest;1;3
49;Новгородская область;840000;northwest;1;3
87;Республика Коми;840000;northwest;1;3
11;Архангельская область;840000;northwest;1;3
86;Республика Карелия;840000;northwest;1;3
27;Калининградская область;840000;northwest;1;3
98;Южно-Якутский энергорайон;540000;east;0;3
5;Приморский край;540000;east;0;3
8;ОЭР Хабаровского края;540000;east;0;3
10;Амурская область;540000;east;0;3
99;Еврейская автономная область;540000;east;0;3
101;Центральный энергорайон Якутии;540000;east;0;3
100;Западный энергорайон Якутии;540000;east;0;3
50;Новосибирская область;610000;siberia;0;3
32;Кемеровская область;610000;siberia;0;3
81;Республика Бурятия;610000;siberia;0;3
25;Иркутская область;610000;siberia;0;3
95;Республика Хакасия;610000;siberia;0;3
4;Красноярский край;610000;siberia;0;3
1;Алтайский край;610000;siberia;0;3
76;Забайкальский край;610000;siberia;0;3
52;Омская область;610000;siberia;0;3
93;Республика Тыва;610000;siberia;0;3
69;Томская область;610000;siberia;0;3
24;Ивановская область;530000;center;1;3
66;Смоленская область;530000;center;1;3
17;Владимирская область;530000;center;1;3
19;Вологодская область;530000;center;1;3
70;Тульская область;530000;center;1;3
78;Ярославская область;530000;center;1;3
15;Брянская область;530000;center;1;3
29;Калужская область;530000;center;1;3
34;Костромская область;530000;center;1;3
14;Белгородская область;530000;center;1;3
54;Орловская область;530000;center;1;3
61;Рязанская область;530000;center;1;3
28;Тверская область;530000;center;1;3
68;Тамбовская область;530000;center;1;3
20;Воронежская область;530000;center;1;3
38;Курская область;530000;center;1;3
42;Липецкая область;530000;center;1;3
46;Московская область;530000;center;1;3
75;Челябинская область;630000;ural;1;3
33;Кировская область;630000;ural;1;3
53;Оренбургская область;630000;ural;1;3
37;Курганская область;630000;ural;1;3
94;Удмуртская Республика;630000;ural;1;3
71;Тюменская область;630000;ural;1;3
65;Свердловская область;630000;ural;1;3
80;Республика Башкортостан;630000;ural;1;3
57;Пермский край;630000;ural;1;3
56;Пензенская область;600000;middlevolga;1;3
92;Республика Татарстан (Татарстан);600000;middlevolga;1;3
97;Чувашская Республика - Чувашия;600000;middlevolga;1;3
22;Нижегородская область;600000;middlevolga;1;3
73;Ульяновская область;600000;middlevolga;1;3
88;Республика Марий Эл;600000;middlevolga;1;3
36;Самарская область;600000;middlevolga;1;3
89;Республика Мордовия;600000;middlevolga;1;3
63;Саратовская область;600000;middlevolga;1;3
85;Республика Калмыкия;550000;south;1;3
26;Республика Ингушетия;550000;south;1;3
96;Чеченская Республика;550000;south;1;3
90;Республика Северная Осетия-Алания;550000;south;1;3
91;Карачаево-Черкесская Республика;550000;south;1;3
12;Астраханская область;550000;south;1;3
3;Краснодарский край;550000;south;1;3
7;Ставропольский край;550000;south;1;3
83;Кабардино-Балкарская Республика;550000;south;1;3
60;Ростовская область;550000;south;1;3
82;Республика Дагестан;550000;south;1;3
18;Волгоградская область;550000;south;1;3
35;Республика Крым;550000;south;1;3